title,content,url,source,category,scraped_at
Ini Penyebab Persib Telat Panas Lawan Selangor FC,"PelatihPersib Bandung,Bojan Hodak, mengungkap alasan timnya telat panas melawanSelangor FC. Masalah adaptasi terhadap cuaca jadi sebabnya. Persib Bandung melakukan comeback luar biasa untuk menang 3-2 di kandang Selangor FC, MBPJ Stadium, pada match day keempat Grup G AFC Champions League 2, Kamis (6/11/2025). Maung Bandung tertinggal dua gol saat babak pertama tuntas. Tuan rumah bikin gol lewat Chrigor di menit ke-3 dan bunuh diri Patrico Matricardi di menit ke-17. SCROLL TO CONTINUE WITH CONTENT Persib bangkit bikin tiga gol selepas jeda. Andrew Jung memperkecil ketinggalan Persib di menit ke-48. Adam Alis kemudian menjadi pahlawan kemenangan Persib. Ia bikin dua gol di ke-81 dan 90+7 untuk memastikan kemenangan Pangeran Biru.  Gol penentu kemenangan Persib lahir berawal dari kesalahan kiper Selangor Sikh Izhan. Izhan tak cukup baik saat menyapu bola backpass. Sapuannya justru membentur Adam yang melakukan pressing. Bola kemudian memantul masuk ke gawang Selangor. Kemenangan ini membawa Persib semakin kukuh di puncak Grup G dengan sepuluh poin. Pasukan Bojan Hodak hanya butuh satu angka lagi untuk memastikan melaju ke 16 besar. Sementara, Selangor dipastikan tersingkir dari ACL 2. Mereka kini di posisi juru kunci dengan belum meraih poin. Bojan Hodak tetap memuji Izhan meski bikin blunder yang membuat Persib menang. Terlepas dari blunder tersebut, Izhan bikin dua penyelamatan krusial untuk membendung serangan Pangeran Biru. ""Pada babak kedua, seandainya kiper mereka (Selangor) tidak melakukan penyelamatan, mungkin ada 6-7 gol yang bisa tercipta. Jadi saya merasa senang, kami menang 3-2 dan paling penting adalah tiga poin,"" ujar Bojan dikutip dari detikJabar. Pelatih asal Kroasia ini juga mengungkap Persib telat panas melawan Selangor. Menurutnya, masalah adaptasi cuaca sebab Persib kesulitan di babak pertama. ""Kami juga bermain setiap 4-5 hari dan menurut saya cuacanya lebih panas dari Bandung. Jadi mungkin di awal kami tidak cukup siap. Kami di babak kedua kami bisa mulai rileks dan bisa mencetak gol,"" jelas Bojan. ""Setelah Andrew Jung mencetak gol, kami mulai mencari gol kedua. Di babak kedua, setelah melakukan pergantian, kami mulai bermain lebih agresif dan bisa mencetak gol kedua. Kami mulai bisa mendominasi,"" tambahnya. ",,Detik,liga_indonesia,
"Lawan Indonesia, Brasil Mau Cepat-cepat Segel Babak Selanjutnya","Brasil U-17bentrok denganTimnas Indonesia U-17padaPiala Dunia U-17 2025. Tim Samba mau segera lolos dari fase grup dengan menaklukkan Garuda Muda. Matchday kedua Grup H Piala Dunia U-17 mempertemukan Indonesia vs Brasil. Duel dijadwalkan Jumat (7/11/2025) malam WIB di Aspire Zone, Al Rayyan. Brasil saat ini berada di puncak klasemen sementara Grup H. Vitor Hugo cs menang telak 7-0 atas Honduras di pertandingan pertama. SCROLL TO CONTINUE WITH CONTENT  Berbanding terbalik dengan Brasil, Indonesia harus menelan kekalahan pada partai pertamanya di Piala Dunia U-17. Pasukan Nova Arianto menyerah 1-3 dari Zambia U-17. Brasil hanya butuh satu kemenangan lagi demi bisa mengunci tempat ke babak selanjutnya. Indonesia pun jadi bidikan tim berjulukCanarinha(Burung Kenari Kecil) ini untuk meraih poin penuh berikutnya. Hal itu diutarakan salah satu penggawa Timnas Brasil U-17, Andrey Fernandes. Dia menyebut timnya fokus penuh demi meraih kemenangan atas Indonesia.   [Gambas:Instagram]   ""Kami bersatu dengan baik dan 100 persen fokus pada pertandingan melawan Indonesia. Kami akan berjuang keras untuk mengamankan tempat kami di tahap selanjutnya,"" kata Fernandes dalam akun Instagram Timnas Brasil U-17. Timnas Brasil U-17 jelas jadi unggulan meraih kemenangan atas Indonesia. Di satu sisi, bukan tidak mungkin Garuda Muda membuat kejutan demi menjaga asa melaju dari fase grup Piala Dunia U-17 2025. ",,Detik,liga_indonesia,
Kiper Selangor Menangis Usai Blunder yang Bikin Persib Menang,"KiperSelangorFC, Sikh Izhan, menangis usai bikin blunder yang membuatPersib Bandungmenang 3-2. Blunder Izhan bikin Gergasi Merah tersingkir dariAFC Champions League 2. Persib Bandung melakukan comeback luar biasa untuk menang 3-2 di kandang Selangor FC, MBPJ Stadium, pada match day keempat Grup G AFC Champions League 2, Kamis (6/11/2025). Maung Bandung tertinggal dua gol saat babak pertama tuntas. Tuan rumah bikin gol lewat Chrigor di menit ke-3 dan bunuh diri Patrico Matricardi di menit ke-17. SCROLL TO CONTINUE WITH CONTENT Persib bangkit bikin tiga gol selepas jeda. Andrew Jung memperkecil ketinggalan Persib di menit ke-48. Adam Alis kemudian menjadi pahlawan kemenangan Persib. Ia bikin dua gol di ke-81 dan 90+7 untuk memastikan kemenangan Pangeran Biru. Gol penentu kemenangan Persib lahir berawal dari kesalahan kiper Selangor Sikh Izhan. Izhan tak tenang saat mendapatkan bola backpass. Ia berusaha langsung menyapu bola tapi bola tak tepat mengenai kakinya. Bola justru mengarah ke depan membentur Adam yang melakukan pressing. Bola kemudian memantul masuk ke gawang Selangor. Izhan tampak begitu terpukul usai melakukan blunder. Ia langsung tersujud lemas lalu dan kemudian tampak menangis. JARINGAN KEMENANGAN ADAM ALIS!Comeback dilengkapkan oleh Persib Bandung di MBPJ selepas kesilapan sekali lagi dari Selangor!Selangor sah tersingkir selepas 0 mata dari 4 perlawanan di ACL2.#ACL2pic.twitter.com/vtgcZFiXOT   Para pemain Selangor berusaha menenangkan dan menyemangati Izhan. Namun, Izhan tampak masih menangis hingga saat meninggalkan lapangan ketika laga usai. Blunder ini mencoreng penampilan Izhan yang tampil apik sepanjang laga. Ia mampu dua kali melakukan penyelamatan krusial membendung serangan Persib. Izhan layak sangat terpukul karena blundernya ini membuat Selangor dipastikan tersingkir dari ACL 2. Selangor di posisi juru kunci Grup F dengan belum meraih angka dengan sisa dua laga. Sementara, Persib semakin kukuh di puncak Grup G dengan sepuluh poin. Pasukan Bojan Hodak hanya butuh satu angka lagi untuk memastikan melaju ke 16 besar. ",,Detik,liga_indonesia,
"Tantang Brasil, Garuda Muda Siap Raih Poin Perdana","PerjalananTimnas Indonesia U-17dalam ajangPiala Dunia U17di Qatar kembali menghadapi tantangan berat. Setelah dipecundangi oleh Zambia dengan skor 1-3 pada partai pembuka,Garuda Mudaakan menghadapi tim unggulan Brasil. Pelatih Timnas Indonesia U-17, Nova Arianto, berkata jika timnya tak boleh kalah sebelum bertanding. Dirinya juga mengakui jika Selecao Muda memang diprediksi dapat menjadi juara turnamen kali ini. Meski demikian dalam pertandingan nanti, Nova Arianto menegaskan bahwa tak akan ada perubahan formasi anak asuhnya. ""Kalau formasi mungkin tetap sama ya, sekali lagi Brasil menjadi salah satu unggulan di Piala Dunia ini dan saya sampaikan ke pemain jangan pernah takut sebelum bertanding,"" kata Nova Arianto dalam rekaman yang diterimadetikSport. SCROLL TO CONTINUE WITH CONTENT ""Kita mencoba saja. Kita mencoba sejauh mana kemampuan kita. Harapannya pemain bisa lebih berani lagi, lebih siap lagi untuk bertanding,"" kata dia. Dalam partai sebelumnya Brasil baru saja menghajar Honduras dengan skor 7-0. Matchday kedua Piala Dunia U-17 2025 Grup H antara Brasil vs Indonesia akan berlangsung malam ini (7/11/2025). Pertandingan tersebut berlangsung di Aspire Zone pitch 7, Doha, Qatar pukul 22.45 WIB. Laga kedua tim ini bisa disaksikan secara gratis di situs FIFA+. Sebagai catatan, Brasil merupakan tim dengan raihan empat kali juara Piala Dunia U-17. Mereka mendapatkan gelar tersebut pada 1997, 1999, 2003 dan 2019. Striker dari tim Canarinha, Wenderson Wanderley Santos de Melo (Dell) berkata jika dirinya memiliki target untuk memenangi Piala Dunia U-17 Qatar ini. ""Kami memenangi gelar juara di Amerika Selatan --sekarang waktunya untuk Piala Dunia. Saya sangat bangga dan gembira bisa bermain untuk negara saya,"" kata Dell dikutip dari situs FIFA dilansir olehdetikSport. Pertandingan nanti juga akan sangat menentukan nasib Indonesia dalam turnamen ini. Sebab hanya dua tim dari masing-masing grup yang dipastikan lolos, dan ada 8 tiket lainnya untuk tim peringkat ketiga terbaik. Saat ini Garuda Muda berada di peringkat ketiga Grup H dengan raihan 0 poin. Kesempatan mereka meraih poin tersisa di dua laga. Lalu, apakah Timnas Indonesia mampu meraih poin perdana menghadapi tim kuat Brasil? Atau ini merupakan laga terakhir mereka sebelum angkat koper dari Qatar? Simak obrolannya bersamadetikSportdalam segmend'Hattrick! Beralih ke Berita Nusantara,detikSoreakan mengulas lebih dalam bagaimana proses peralihan kekuasaan Keraton Kasunanan Solo usaiPaku Buwono XIIImangkat. Seperti diketahui, Putra mahkota Keraton Solo KGPAA Hamangkunegoro Sudibya Rajaputra Narendra Mataram mengukuhkan dirinya sebagai Paku Buwono (PB) XIV. Pengukuhan ini dilakukan jelang prosesi pemberangkatan jenazah PB XIII. Dalam acara ituKGPAA Hamangkunegoromengucapkan ikrar kesetiaan dan kesanggupan untuk meneruskan tahta Raja. Ikrar itu disampaikan di depan keluarga besar, abdi dalem, hingga sentono. Namun adakah ganjalan dalam proses peralihan kekuasaan ini? Ikuti paparannya bersama RedakturdetikJatengselengkapnya. Hari ini, detikSore akan menghadirkan Direktur utama Kilang Pertamina Internasional, Taufik Aditiyawarman. Kepada detikSore ia akan memaparkan sejumlah strategi untuk menjaga ketahanan energi bagi Indonesia. Dalam pengoperasiannya, Kilang Pertamina Internasional tak henti melakukan inovasi untuk terus menghasilkan produk berkualitas dan lebih ramah lingkungan. Inovasi tersebut antara lain produksi bahan bakar pesawat dengan memanfaatkan bahan jelantah (PertaminaSAF) yang diproduksi di Kilang Cilacap 6.⁠Lalu apa saja inovasi serta gebrakan lain yang disiapkan? Ikuti diskusi selengkapnya dalam detikSore. Jelang petang nanti, detikSore akan menghadirkan Ahmad Doli Kurnia, Wakil Ketua Badan Legislasi DPR RI. kepada detikSore ia akan memaparkan sejumlah usaha yang dilakukan Baleg dalam rangka mendorong upaya penegakan demokrasi di Indonesia. Ikuti diskusi lengkapnya. Ikuti terus ulasan mendalam berita-berita hangat detikcom dalam sehari yang disiarkan secara langsung langsung (live streaming) pada Senin-Jumat, pukul 15.30-18.00 WIB, di 20.detik.com dan TikTok detikcom. Jangan ketinggalan untuk mengikuti analisis pergerakan pasar saham jelang penutupan IHSG di awal acara. Sampaikan komentar Anda melalui kolom live chat yang tersedia. ""Detik Sore, Nggak Cuma Hore-hore!""",,Detik,liga_indonesia,
Prediksi Timnas Indonesia U-17 Vs Brasil U-17: Ujian Berat Garuda Muda,"Timnas Indonesia U-17 vs Brasil U-17tersaji diPiala Dunia U-17 2025nanti malam. Berikut prediksi pertandingan yang bakal berat bagi Garuda Muda itu. Indonesia vs Brasil tersaji di laga kedua Grup H Piala Dunia U-17 2025. Laga digelar di Aspire Zone, Al Rayyan, Qatar, Jumat (7/11/2025) malam WIB. Laga itu mempertemukan dua tim yang meraih hasil berbeda di laga perdana. Indonesia tumbang 1-3 dari Zambia, sementara Brasil tampil perkasa dengan menggilas Honduras 7-0. SCROLL TO CONTINUE WITH CONTENT Saat melawan Zambia, Indonesia sedianya sempat unggul lebih dulu. Zahabi Gholy membawa skor 1-0 di menit ke-12, namun ditekan setelahnya. Zambia kemudian membalas tiga gol lewat brace Abel Nyirongo dan satu gol Lukonde Mwale. SementaraBrasilbegitu perkasa saat melawan Honduras. Tim asuhan Dudu Patetuci benar-benar memperlihatkan kualitas skuadnya.  Ruan Pablo, Dell, Felipe Morais, Vitor Hugo, Angelo mampu menekan Honduras lewat serangan mematikan. Sekali shot, bola masuk ke gawang lawan. Statistik menunjukkan, Brasil menciptkan peluang 18 kali, 10 di antaranya on target, dan 7 menghadirkan gol. Sofascore bahkan menjadikan Brasil tim dengan rating terbaik kedua dengan nilai 7.53, hanya kalah dari Korea Utara (7.78). Jelas, bakal sulit Indonesia meladeni skuad Brasil, yang rata-rata juga sudah berkelas dunia. Meski begitu, apa pun bisa saja terjadi. Saat melawan Zambia, Indonesia memperlihatkan semangat juang tinggi meski tertinggal. Beberapa kali peluang emas diciptakan, yang bisa saja menjadi gol dan memaksa hasil imbang. Melawan Brasil, performa seperti itu yang jelas diharapkan dari skuad Nova Arianto. Meski kalah kelas, di mana Brasil berstatus juara dunia empat kali, Indonesia tetap punya peluang sekecil apa pun itu. LagaTimnas Indonesia U-17 vs Brasil U-17akan digelar pukul 22.45 WIB. Ayo dukung Garuda Muda untuk menang dan menjaga kans ke babak berikutnya.",,Detik,liga_indonesia,
FIFA Matchday: Timnas U-23 Proyeksi SEA Games Uji Coba 2 Kali Lawan Mali,"Timnas Indonesia U-23proyeksiSEA Games 2025akan mengisi slot FIFA Matchday Bulan November. PSSI memilih Mali sebagai lawan uji tanding sebanyak dua kali. Lantaran timnas senior sedang tidak punya pelatih, PSSI menetapkanTimnas U-23yang akan menjalani FIFA Matchday bulan ini. Bagi Timnas U-23 kesempatan ini bak menyelam sambil minum air. Uji coba ini akan digelar sebanyak dua kali di Stadion Pakansari pada 15 dan 18 November. Sebanyak 30 pemain dipanggil untuk menjalani dua laga ini. SCROLL TO CONTINUE WITH CONTENT  ""PSSI memastikan bahwa Timnas U-23 akan melawan Mali U-23 sebanyak dua kali pada tanggal 15 dan 18 November ini di Stadion Pakansari dengan kick off pukul 20.00 WIB. Tim Mali akan datang ke Indonesia pada tanggal 13 November,"" kata Sekjen PSSI Yunus Nusi, dalam pernyataannya. ""Untuk penjualan tiket dua pertandingan ini, kami akan segera menginformasikannya. Semoga dua uji coba internasional ini membuat Timnas U-23 semakin matang dan solid jelang bertanding di SEA Games 2025 mendatang,"" ujarnya menambahkan. Sebelumnya pada tanggal 10 dan 13 Oktober lalu, Garuda Muda sudah melakoni dua laga uji coba internasional melawan India di Stadion Madya, Jakarta.  Laga melawanMalisekaligus bisa menjadi kesempatan terakhir buat pelatih Timnas U-23 Indra Sjafri untuk memilih skuad final. Karena masih ada 30 pemain, ia harus mencoret tujuh orang agar menyisakan 23 pemain. Tanggal 15 dan 18 November 2025 Pukul 20.00 WIB di Stadion Pakansari, Kabupaten Bogor.",,Detik,liga_indonesia,
"Klasemen ACL 2: Persib Kukuh di Puncak, Selangkah Lagi ke 16 Besar","Persib Bandungkukuh di puncak klasemen Grup GAFC Champions League 2usai menang dari Selangor FC. Maung Bandung selangkah lagi amankan tiket ke 16 besar. Persib Bandung meraih kemenangan 3-2 di kandang Selangor FC, MBPJ Stadium, pada match day keempat Grup G AFC Champions League 2, Kamis (6/11/2025). Tiga angka ini didapat Maung Bandung lewat comeback dramatis. Tim tamu tertinggal dua gol lebih dulu akibat gol dari Chrigor di menit ke-3 dan bunuh diri Patrico Matricardi di menit ke-17. Persib secara luar membalikkan keadaan usai bikin tiga gol selepas jeda. SCROLL TO CONTINUE WITH CONTENT Andrew Jung memperkecil ketinggalan Persib di menit ke-48. Adam Alis kemudian menjadi pahlawan kemenangan Persib usai bikin brace di menit ke-81 dan 90+7.  Kemenangan ini membawa Persib kukuh di puncak klasemen Grup G dengan 10 poin. Hasil dari tiga kali menang dan sekali imbang. Anak asuhan Bojan Hodak unggul satu angka dari Bangkok United dengan sembilan angka di posisi kedua. Bangkok United pada matchday keempat mampu menang 2-1 di kandang Lion City Sailors. Lion City Sailors di urutan ketiga dengan empat angka. Sementara, Selangor jadi juru kunci dengan belum meraih angka. Kekalahan atas Persib turut memastikan Gergasi Merah tersingkir dari ajang ini. Meski Grup G masih menyisakan dua laga lagi. Persaingan lolos ke fase gugur dari Grup G berkutat ke tiga klub yaitu Persib, Bangkok United, dan Lion City Sailors. Persib hanya butuh satu angka lagi untuk mengamankan tiket ke 16 besar. Dua laga sisa Persib di Grup G adalah bertandang ke markas Lion City Sailors (26/11) dan lalu menjamu Bangkok United di kandang (10/12) dalam duel pamungkas. ",,Detik,liga_indonesia,
Campus League Dimulai dengan 21 Tim,"Campus League cabang olahragafutsalsedang bergulir. Ada 21 tim putra dan putri dari berbagai universitas yang siap bersaing. Ajang ini bergulir di GOR Ki Bagoes Hadikoesoemo, Universitas Islam Indonesia (UII) pada 6-12 November 2025. 21 tim yang terlibat terdiri dari 16 tim putra dan 5 tim putri, yang berasal dari wiliayah Yogyakarta, Magelang, Surabaya, Malang, dan Tulungagung. Ada 10 tim putra yang datang dengan status lolos dari fase City Play-off Surabaya dan Yogyakarta. 6 tim lainnya langsung ke fase regional dengan status undangan berdasarkan reputasi dan kontribusinya dalam pembinaan futsal kampus, yakni Universitas Islam Indonesia sebagai tuan rumah, Universitas Tidar Magelang, Universitas Surabaya (UBAYA), Universitas Gadjah Mada, Universitas Negeri Yogyakarta, dan Universitas Ahmad Dahlan Yogyakarta. SCROLL TO CONTINUE WITH CONTENT Seluruh tim putra akan dibagi ke dalam empat grup berisi empat tim. Hanya juara grup yang berhak melaju ke babak semifinal, sekaligus memastikan tiket menuju fase National yang akan berlangsung di Jakarta pada Desember 2025. Namun, empat semifinalis tersebut masih punya sasaran antara untuk memperebutkan posisi juara Regional Yogyakarta melalui pertandingan final pada 11-12 November.  ""Akhirnya kami bisa memulai perjalanan panjang ini untuk berkontribusi dalam pembangunan ekosistem pembinaan di Yogyakarta. Ini akan menjadi awal yang tepat karena Yogyakarta adalah kota pelajar dan kampus,"" ujar CEO Campus League, Ryan Gozali. ""Semoga pertandingan bisa berjalan dengan baik. Tim-tim kampus bisa menunjukkan permainan terbaiknya dam menjadi yang terbaik untuk mewakili wilayahnya di babak nasional nanti,"" Ryan menambahkan. Campus League dirancang sebagai ekosistem kompetisi olahraga kampus yang akan terus berkembang dari tahun ke tahun, dengan futsal menjadi pondasi pada musim perdana sebelum meluas ke cabang olahraga lain. ",,Detik,liga_indonesia,
"Ditekuk PSBS, Laju Tak Terkalahkan Persita pun Terhenti","Catatan tak terkalahkanPersitadiSuper Leaguemusim 2025/26 harus terhenti di tanganPSBS Biak. PelatihCarlos Penamengaku Pendekar Cisadane tampil di bawah standar pada laga ini. Bertanding di Stadion Maguwoharjo, Sleman, Kamis (6/11/2025), Persita kalah 1-2. Gol bunuh diri George Brown pada menit ke-10 sempat memberikan keunggulan bagi Persita di babak pertama, namun PSBS mampu bangkit usai turun minum. Ruyery Blanco menyamakan skor di menit ke-69 usai menerima umpan Arjuna Agung. Tiga poin berhasil disegel tuan rumah usai Yano Putra membalikkan keadaan di injury time. SCROLL TO CONTINUE WITH CONTENT  Ini menjadi kekalahan ketiga bagi Persita musim ini, atau yang pertama sejak Agustus lalu. Sebelum ini, Hokky Caraka dkk sempat melewati delapan laga tanpa terkalahkan, termasuk meraih lima kemenangan secara beruntun. Kekalahan ini membuat Persita gagal menyodok ke posisi dua klasemen sementara. Dengan 18 poin, mereka kini ada di posisi lima dan masih bisa digeser PSIM Yogyakarta yang punya tabungan satu laga melawan Persis akhir pekan ini. ""Penampilan yang buruk dari kami. Saya pikir PSBS Biak layak menang, mereka tampil lebih baik, mereka lebih lapar dan lebih bergairah dibanding kami, saya hanya bisa mengucapkan selamat kepada mereka dan kami harus belajar dari laga ini,"" ujar Pena dalam jumpa pers. ""Mereka menekan kami dengan bagus, kami juga tidak memenangkan duel, lebih sulit bagi kami. Dengan situasi seperti itu kami masih bisa mencetak gol, namun di babak kedua kami tidak berhasil, tidak mampu bertahan dengan baik, tidak menyerang dengan baik.""  ""Namun laga hari ini tidak mengubah hal-hal bagus yang sudah kami lakukan sampai sekarang. Kami tim yang sama yang menang lima kali beruntun, tidak kalah delapan kali beruntun, kami tim yang sama. Namun hari ini kami tidak di level terbaik, mereka tampil lebih baik, dan kami pun kalah. Sesimpel itu,"" tegas Pena. Persita sekarang punya waktu rehat selama sekitar dua pekan sebelum kembali bertanding pada tanggal 23 November mendatang untuk menjamu Malut United di Tangerang. ",,Detik,liga_indonesia,
Indonesia U-17 Vs Brasil U-17: Garuda Muda Dibantai 0-4,"Timnas Indonesia U-17dibantaiBrasil U-17dengan skor 0-4. Kekalahan ini bikin Garuda Muda belum meraih poin di Grup HPiala Dunia U-17 2025. Indonesia menghadapi pada laga kedua Grup H Piala Dunia U-17 2025 berlangsung di Lapangan 7 Aspire Zone, Jumat (7/11/2025). Brasil unggul 3-0 di babak pertama. Selecao membuka keunggulan lewat gol cepat Eduardo di menit ke-3. Mereka menambah dua gol sebelum jeda usai Putu Panji melakukan bunuh diri di menit ke-34 dan Kayke cetak gol di menit ke-39. SCROLL TO CONTINUE WITH CONTENT Brasil bikin satu gol selepas jeda lewat sepakan jarak jauh Ruan Pablo di menit ke-79. Indonesia kalah 0-4. Kekalahan ini membuat Indonesia berada di posisi ketiga Grup H dengan belum meraih poin. Indonesia punya selisih gol lebih baik dari Honduras sebagai juru kunci. Brasil di puncak klasemen dengan enam angka. Mereka sudah mengamankan tiket ke fase gugur.  Jalannya Pertandingan Tim Samba Muda langsung mampu mencetak gol ketika laga baru berjalan tiga menit. Gol berawal dari tendangan bebas Tiago di sisi kiri. Bola tak bisa dihalau dengan baik lini belakang Indonesia. Eduardo memenangi duel udara. Sundulannya tak terbendung oleh Daffa Al Gasemi. Garuda Muda berupaya lepas dari tekanan Brasil di awal laga. Namun, serangan Indonesia seringkali mudah dipatahkan pemain Brasil. Hal ini bikin Brasil masih dominan. Brasil hampir saja menggandakan keunggulan di menit ke-17. Tiago melepas sepakan voli keras dari luar kotak penalti. Dafa masih sigap menepis bola. Dafa harus bekerja keras membendung serangan Brasil. Ia kembali melakukan penyelamatan gemilang saat menepis tembakan Felipe Moraes dari dalam kotak penalti di menit ke-22. Brasil mengurung lini pertahanan Indonesia. Gempuran Brasil berbuah gol kedua pada menit ke-34. Tembakan Kayke Santos berubah arah usai membentur Putu Panji. Dafa yang terkecoh tak bisa berbuat banyak. Brasil menambah gol lima menit berselang. Kayke menusuk dari sisi kanan lalu melepas umpan tarik yang menemui Felipe Morais. Felipe melepas tembakan keras yang bersarang ke pojok kanan gawang Dafa. Skor 3-0 untuk Brasil menutup babak pertama. Selepas jeda, Brasil sedikit mengendurkan serangan. Namun, kondisi ini tak bisa dimanfaatkan Indonesia. Bangunan serangan pasukan Nova Arianto mudah dimentahkan lini belakang Brasil. Laga menjadi minim peluang berbahaya hingga pertengahan babak kedua. Ruan Pablo mencetak gol indah pada menit ke-79. Ia melepas tembakan jarak jauh yang meluncur deras ke pojok kiri gawang Indonesia. Brasil menjauh 4-0. Fadly Alberto bisa menusuk ke kotak penalti Brasil di menit ke-85. Tembakannya dari sudut sempit tapi hanya menerpa jaring luar Brasil. Brasil mengakhiri laga dengan kemenangan 4-0. Susunan Pemain Indonesia:Dafa Al Gasemi Setiawarman; Lucas Lee, Algazani Dwi Sugandi, Putu Panji, Mathew Baker; Eizar Tanjung, Nazriel Alfaro, Evandra Florasta; Dimas Adi Prasetyo, Fadly Alberto Hengga,Rafi Rasyiq Brasil:Joao Pedro; Angelo, Vitor Hugo, Luis Eduardo, Arthur Ryan; Ze Lucas, Tiago, Felipe Morais; Ruan Pablo, Dell, Kayke Santos ",,Detik,liga_indonesia,
